,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,SCRAMBLING_P,PAR OR BETTER,MISSED GIR,TOP 10_x,POINTS,TOP 10_y,1ST,Year
0,Dustin Johnson,87,69.172,313.6,57.17,67.82,.281,1.646,1.928,59.58,283,475,9,"2,380",15,3,2016
1,Jason Day,76,69.313,304.2,50.46,67.23,1.130,.987,2.118,61.92,252,407,7,"1,440",10,3,2016
2,Adam Scott,79,69.470,304.6,55.55,70.76,-.168,2.062,1.894,59.50,238,400,4,"1,930",9,2,2016
3,Jordan Spieth,80,69.520,295.4,58.14,63.52,.758,.811,1.569,63.93,319,499,5,"1,168",8,2,2016
4,Phil Mickelson,75,69.582,294.8,54.82,66.05,.565,.799,1.364,64.32,283,440,5,548,6,,2016
5,Rory McIlroy,69,69.646,306.8,61.06,69.62,-.207,1.888,1.681,58.70,199,339,5,"3,120",8,2,2016
6,Matt Kuchar,100,69.844,285.8,65.67,67.82,.381,.933,1.314,61.51,342,556,7,526,10,,2016
7,Paul Casey,77,69.950,295.2,64.67,70.80,.112,1.260,1.372,61.44,239,389,3,"1,880",7,,2016
8,Brooks Koepka,75,69.956,302.6,58.60,66.98,.445,.648,1.092,55.53,231,416,5,"1,541",7,,2016
9,Steve Stricker,53,69.996,278.0,63.23,63.00,.620,.101,.721,66.01,233,353,2,815,3,,2016
10,Sergio Garcia,54,69.999,299.9,61.76,70.15,-.388,1.189,.801,57.66,158,274,3,"1,566",4,1,2016
11,Charl Schwartzel,73,70.004,296.7,56.86,68.73,-.137,1.180,1.043,59.64,235,394,2,430,5,1,2016
12,Hideki Matsuyama,76,70.034,294.5,62.04,68.11,-.025,1.315,1.290,60.86,255,419,5,728,8,1,2016
13,Rickie Fowler,80,70.118,301.6,58.69,69.26,.153,1.224,1.378,62.21,265,426,6,"1,607",8,,2016
14,Jim Furyk,52,70.130,280.8,69.09,68.27,.067,.463,.530,57.24,170,297,1,745,3,,2016
15,Justin Rose,65,70.148,303.9,57.90,67.92,-.197,1.325,1.128,58.10,208,358,5,"1,191",5,,2016
16,Patrick Reed,105,70.170,297.4,55.96,64.65,.280,.746,1.026,63.97,403,630,9,"1,986",11,1,2016
17,Brandt Snedeker,93,70.203,292.6,58.69,65.67,.395,.573,.968,62.73,345,550,5,592,7,1,2016
18,Branden Grace,63,70.204,295.6,55.14,66.76,-.105,.960,.855,59.05,212,359,4,"1,443",6,1,2016
19,Jason Dufner,105,70.212,293.2,62.83,70.15,-.353,.840,.488,56.39,309,548,5,522,6,1,2016
20,Ryan Palmer,86,70.229,304.7,57.88,67.83,-.094,.868,.774,57.63,287,498,2,"1,545",3,,2016
21,Gary Woodland,95,70.234,306.1,56.69,68.74,-.162,1.065,.903,60.16,308,512,1,510,4,,2016
22,Kevin Na,96,70.298,279.6,65.30,66.73,.074,.553,.627,58.53,326,557,6,400,8,,2016
23,Ryan Moore,86,70.317,283.2,66.52,65.78,.351,.544,.895,60.12,300,499,5,"1,336",9,1,2016
24,Russell Knox,92,70.319,285.8,68.51,69.73,-.054,.560,.506,61.86,300,485,3,992,4,2,2016
25,Louis Oosthuizen,63,70.327,294.0,61.67,68.15,-.021,.857,.836,54.21,174,321,2,"1,468",3,,2016
26,Bubba Watson,72,70.333,310.6,55.11,69.16,-.367,1.359,.992,52.74,202,383,3,478,4,1,2016
27,Daniel Berger,92,70.339,298.4,56.68,67.67,.175,.718,.893,56.95,295,518,4,422,6,1,2016
28,Webb Simpson,70,70.359,286.3,62.17,67.14,-.482,1.149,.667,59.42,246,414,1,750,2,,2016
29,Zach Johnson,90,70.364,280.1,65.23,64.53,.395,.214,.609,62.11,341,549,4,"1,071",5,,2016
30,William McGirt,98,70.393,287.6,65.28,67.35,.360,.598,.958,60.76,350,576,5,432,7,1,2016
31,Jimmy Walker,85,70.393,301.3,48.31,63.96,.222,.671,.892,57.71,307,532,3,652,5,1,2016
32,Charles Howell III,91,70.418,303.4,52.60,68.01,.152,.549,.701,60.88,319,524,5,"1,191",5,,2016
33,Francesco Molinari,64,70.436,286.7,63.76,64.93,-.296,.859,.562,60.40,244,404,2,550,3,,2016
34,Bill Haas,86,70.444,289.6,62.34,67.14,-.174,.693,.519,63.30,307,485,4,"1,285",6,,2016
35,Harris English,97,70.463,299.2,55.01,64.83,.594,.040,.634,60.10,369,614,3,"1,270",3,,2016
36,Kevin Kisner,97,70.489,289.0,64.92,65.19,.672,-.124,.548,56.88,335,589,5,436,6,1,2016
37,Kevin Chappell,93,70.501,296.3,60.68,66.37,-.307,1.077,.770,59.15,333,563,5,"1,320",8,,2016
38,J.B. Holmes,77,70.523,314.5,51.68,65.17,-.129,.633,.504,56.68,263,464,4,360,6,,2016
39,Lucas Glover,75,70.534,298.3,64.37,71.63,-.192,.764,.572,57.18,219,383,2,590,2,,2016
40,Billy Horschel,73,70.548,293.0,60.71,67.70,.112,.717,.829,54.55,222,407,3,"1,199",5,,2016
41,Marc Leishman,89,70.554,295.0,60.55,65.31,.252,.258,.510,60.34,324,537,1,923,2,,2016
42,Russell Henley,76,70.558,295.6,63.15,68.27,.193,.366,.560,61.06,265,434,4,726,4,,2016
43,Si Woo Kim,113,70.560,293.5,62.84,64.83,-.102,.605,.503,62.32,430,690,2,534,5,1,2016
44,Chad Campbell,90,70.566,287.9,64.39,68.15,-.223,.768,.544,62.21,321,516,3,829,3,,2016
45,Jason Kokrak,89,70.570,307.4,58.41,68.66,-.288,.813,.525,58.37,293,502,2,"1,554",4,,2016
46,Justin Thomas,99,70.571,301.3,53.94,65.63,-.185,.506,.320,55.56,330,594,4,748,7,1,2016
47,Roberto Castro,97,70.588,284.2,69.37,69.13,-.257,.844,.587,60.11,324,539,3,448,4,,2016
48,Emiliano Grillo,93,70.637,294.3,66.93,68.52,-.056,.534,.479,55.10,281,510,1,902,3,1,2016
49,Shane Lowry,57,70.640,298.7,61.85,64.51,.113,.556,.669,53.91,186,345,2,615,2,,2016
50,Charley Hoffman,91,70.658,298.2,54.80,64.58,-.092,.617,.525,57.75,324,561,1,"1,383",1,1,2016
51,Chez Reavie,90,70.661,287.3,68.22,68.09,-.262,.762,.500,62.75,310,494,2,772,2,,2016
52,Alex Cejka,71,70.675,281.5,65.89,67.99,.010,.631,.642,65.03,251,386,3,754,4,,2016
53,Sean O'Hair,89,70.677,302.2,58.84,67.17,.208,.163,.371,57.79,304,526,1,416,2,,2016
54,Tim Wilkinson,72,70.704,279.3,62.36,64.71,.335,.226,.561,63.66,275,432,1,426,1,,2016
55,John Senden,88,70.717,289.7,60.07,68.86,.321,.130,.451,59.13,285,482,1,719,1,,2016
56,Adam Hadwin,93,70.719,290.1,63.62,66.07,.530,-.011,.519,58.27,331,568,1,748,2,,2016
57,Keegan Bradley,82,70.741,300.0,64.57,69.58,-.631,.929,.298,54.57,245,449,2,605,2,,2016
58,Luke List,79,70.754,306.9,50.98,67.17,-.273,.709,.436,60.88,277,455,2,481,2,,2016
59,Daniel Summerhays,99,70.771,288.0,58.65,63.02,.592,-.356,.236,57.21,377,659,1,975,2,,2016
60,Johnson Wagner,86,70.781,289.4,61.13,69.38,.273,.096,.368,57.81,274,474,1,808,3,,2016
61,Ricky Barnes,97,70.784,287.6,54.27,65.77,.385,-.091,.295,59.86,343,573,2,844,4,,2016
62,Colt Knost,90,70.785,269.7,73.36,65.25,.395,-.077,.318,61.90,333,538,2,803,3,,2016
63,Tony Finau,95,70.797,312.2,52.48,65.09,-.088,.216,.128,57.96,346,597,2,"1,314",2,1,2016
64,Freddie Jacobson,86,70.809,280.3,59.03,64.86,.487,-.414,.072,60.29,328,544,3,714,3,,2016
65,Patrick Rodgers,89,70.833,300.5,57.74,69.22,-.193,.504,.311,58.17,274,471,2,827,3,,2016
66,Robert Garrigus,69,70.848,303.3,53.91,69.32,-.200,.836,.637,53.48,192,359,1,558,3,,2016
67,Scott Piercy,87,70.855,297.9,59.41,67.33,-.292,.479,.187,57.29,283,494,2,"1,497",3,,2016
68,Brendan Steele,88,70.855,302.2,60.29,68.72,-.287,.542,.255,54.76,259,473,1,"1,001",2,,2016
69,Sung Kang,89,70.856,292.4,59.36,65.26,.186,-.182,.004,59.74,325,544,2,679,2,,2016
